group	files	rows	questions	final_flip_pct	efficacy_mean	specificity_mean	repr_step_answer_delta_mean	repr_step_answer_delta_last4	repr_step_answer_after_last4	repr_answer_removed_delta_mean	repr_answer_removed_delta_last4	repr_answer_removed_after_last4	attn_answer_to_step_delta_mean	attn_answer_to_step_delta_last4	attn_answer_to_step_after_last4	attn_answer_to_prefix_delta_mean	attn_answer_to_prefix_delta_last4	attn_answer_to_prefix_after_last4	attn_answer_to_post_step_delta_mean	attn_answer_to_post_step_delta_last4	attn_answer_to_post_step_after_last4
critical_lora_baseline_i09	2	41	29	21.951220	98.396579	99.268293	-0.010706	-0.027789	0.755286	-0.000585	-0.002244	0.991637	-0.000382	0.000279	0.008377	-0.000295	-0.002036	0.637267	0.000648	0.001751	0.354373
critical_lora_causal_cot_i09	2	42	29	14.285714	96.828474	98.928571	-0.010179	-0.033004	0.748918	-0.000623	-0.002822	0.991139	-0.000153	-0.000354	0.007614	-0.004175	-0.015730	0.622442	0.004341	0.016032	0.369931
critical_lora_causal_cot_i09_unfiltered_pos	2	940	230	19.468085	96.698186	98.409574	-0.010480	-0.018108	0.758749	-0.001903	-0.005140	0.988514	-0.000157	-0.000572	0.008059	-0.012961	-0.057266	0.580732	0.013103	0.057794	0.411176
critical_lora_repr_i09	2	41	29	19.512195	98.361154	99.390244	-0.010391	-0.027312	0.755763	-0.000525	-0.002080	0.991801	-0.000374	0.000317	0.008414	-0.000256	-0.002108	0.637195	0.000591	0.001864	0.354486
